board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,2,114,1,1,56,-619.995,11.047,1,1,0
0,2,115,1,1,24,-569.878,11.5447,1,1,0
0,2,116,1,1,112,-700.017,12.9715,1,1,0
0,2,117,1,1,80,-656.203,11.9807,1,1,0
0,2,118,1,1,48,-604.769,10.6127,1,1,0
0,2,119,1,1,16,-582.584,10.9988,1,1,0
0,2,120,1,1,104,-691.272,13.171,1,1,0
0,2,121,1,1,72,-659.133,12.2642,1,1,0
0,2,122,1,1,40,-580.218,10.6949,1,1,0
0,2,123,1,1,8,-560.896,11.8519,1,1,0
0,2,124,1,1,96,-689.69,12.1073,1,1,0
0,2,125,1,1,64,-640.787,11.0641,1,1,0
0,2,126,1,1,32,-562.142,10.836,1,1,0
0,2,127,1,1,0,-554.574,14.734,1,1,0
0,3,0,1,1,255,-676.074,15.2116,1,1,0
0,3,1,1,1,223,-599.594,13.8051,1,1,0
0,3,2,1,1,191,-554.099,13.4112,1,1,0
0,3,3,1,1,159,-519.5,12.7405,1,1,0
0,3,4,1,1,247,-676.16,13.9971,1,1,0
0,3,5,1,1,215,-595.831,12.8388,1,1,0
0,3,6,1,1,183,-564.915,13.7027,1,1,0
0,3,7,1,1,151,-514.821,13.0891,1,1,0
0,3,8,1,1,239,-640.57,14.9621,1,1,0
0,3,9,1,1,207,-581.576,13.1111,1,1,0
0,3,10,1,1,175,-550.142,12.7147,1,1,0
0,3,11,1,1,143,-516.639,13.2281,1,1,0
0,3,12,1,1,231,-637.843,16.1206,1,1,0
0,3,13,1,1,199,-578.605,12.8563,1,1,0
0,3,14,1,1,167,-535.869,12.4258,1,1,0
0,3,15,1,1,135,-501.498,13.1096,1,1,0
0,3,16,1,1,254,-651.414,15.4203,1,1,0
0,3,17,1,1,222,-598.227,13.1601,1,1,0
0,3,18,1,1,190,-568.392,12.502,1,1,0
0,3,19,1,1,158,-520.838,12.0702,1,1,0
0,3,20,1,1,246,-659.45,13.726,1,1,0
0,3,21,1,1,214,-588.419,12.7743,1,1,0
